temperatura,regulacja,nastaw_t
42.37456700733668,0.0,46.0
42.37456700733668,14.0,46.0
42.000538237272934,20.0,46.0
41.95378464101496,19.0,46.0
42.140799026046835,17.0,46.0
41.95378464101496,22.0,46.0
42.140799026046835,19.0,46.0
41.5797558709512,29.0,46.0
41.81352385224105,22.0,46.0
42.140799026046835,21.0,46.0
41.67326306346713,31.0,46.0
41.48624867843526,30.0,46.0
41.39274148591933,31.0,46.0
41.720016659725104,27.0,46.0
42.09404542978886,26.0,46.0
42.000538237272934,32.0,46.0
41.81352385224105,34.0,46.0
41.95378464101496,32.0,46.0
41.5797558709512,39.0,46.0
41.67326306346713,36.0,46.0
41.720016659725104,37.0,46.0
41.86027744849902,37.0,46.0
41.90703104475699,38.0,46.0
41.766770255983076,42.0,46.0
42.46807419985262,32.0,46.0
42.23430621856278,43.0,46.0
41.95378464101496,45.0,46.0
41.81352385224105,46.0,46.0
42.140799026046835,41.0,46.0
42.514827796110595,40.0,46.0
42.04729183353089,51.0,46.0
42.608334988626524,40.0,46.0
42.28105981482075,50.0,46.0
43.07587095120621,38.0,46.0
42.514827796110595,53.0,46.0
42.46807419985262,50.0,46.0
42.514827796110595,50.0,46.0
42.608334988626524,50.0,46.0
42.70184218114247,50.0,46.0
43.30963893249607,44.0,46.0
43.403146125012015,49.0,46.0
43.449899721269986,50.0,46.0
42.88885656617434,58.0,46.0
43.403146125012015,47.0,46.0
43.35639252875404,53.0,46.0
43.21613173998013,55.0,46.0
43.543406913785915,50.0,46.0
43.403146125012015,56.0,46.0
44.10445006888155,46.0,46.0
44.24471085765545,51.0,46.0
44.33821805017139,52.0,46.0
44.75900041649312,47.0,46.0
44.71224682023515,52.0,46.0
44.75900041649312,51.0,46.0
44.946014801524996,50.0,46.0
45.320043571588755,47.0,46.0
45.179782782814854,52.0,46.0
44.75900041649312,57.0,46.0
44.946014801524996,51.0,46.0
45.13302918655688,50.0,46.0
45.974593919200316,41.0,46.0
46.11485470797423,47.0,46.0
45.787579534168444,52.0,46.0
45.974593919200316,47.0,46.0
46.39537628552205,43.0,46.0
46.11485470797423,51.0,46.0
46.34862268926409,45.0,46.0
46.25511549674815,48.0,46.0
46.11485470797423,49.0,46.0
46.30186909300612,46.0,46.0
46.76940505558581,41.0,46.0
46.722651459327835,46.0,46.0
46.81615865184378,44.0,46.0
47.37720180693941,37.0,46.0
47.14343382564955,45.0,46.0
47.14343382564955,43.0,46.0
47.37720180693941,39.0,46.0
48.3122737320988,29.0,46.0
47.79798417326114,43.0,46.0
48.405780924614746,30.0,46.0
48.26552013584083,37.0,46.0
48.639548905904576,30.0,46.0
48.12525934706693,40.0,46.0
48.359027328356774,31.0,46.0
48.49928811713069,31.0,46.0
48.73305609842052,29.0,46.0
48.73305609842052,30.0,46.0
48.405780924614746,34.0,46.0
48.3122737320988,31.0,46.0
49.10708486848428,20.0,46.0
48.54604171338866,33.0,46.0
48.54604171338866,27.0,46.0
48.87331688719442,23.0,46.0
